symbol,source,baseVolume,volumeMiniMove,priceMiniMove
lba_eth,okex,0.1,0.0001,0.00000001
lba_usdt,okex,0.1,0.0001,0.0001
ok06ett_usdt,okex,0.01,0.00000001,0.0001
cai_okb,okex,10,0.001,0.000001
lsk_btc,okex,0.01,0.00000001,0.00000001
lsk_eth,okex,0.01,0.00000001,0.00000001
lsk_usdt,okex,0.01,0.00000001,0.0001
cai_btc,okex,10,0.0001,0.00000001
cai_eth,okex,10,0.0001,0.00000001
cai_usdt,okex,10,0.0001,0.000001
ae_btc,okex,0.01,0.00000001,0.00000001
ae_okb,okex,0.01,0.00000001,0.00001
sc_okb,okex,10,0.00000001,0.00001
kan_okb,okex,10,0.00000001,0.00001
win_okb,okex,10,0.001,0.000001
sc_eth,okex,10,0.00000001,0.00000001
sc_btc,okex,10,0.00000001,0.00000001
sc_usdt,okex,10,0.0001,0.0001
ae_eth,okex,0.01,0.00000001,0.00000001
ae_usdt,okex,0.01,0.0001,0.0001
kan_btc,okex,10,0.00000001,0.00000001
kan_eth,okex,10,0.00000001,0.00000001
kan_usdt,okex,10,0.0001,0.00001
win_btc,okex,10,0.001,0.00000001
win_eth,okex,10,0.001,0.00000001
win_usdt,okex,10,0.001,0.000001
ors_okb,okex,1,0.00000001,0.00001
mvp_okb,okex,10,0.0001,0.00001
dcr_okb,okex,0.01,0.0001,0.0001
dcr_btc,okex,0.01,0.00000001,0.00000001
dcr_eth,okex,0.01,0.00000001,0.00000001
dcr_usdt,okex,0.01,0.00000001,0.0001
waves_okb,okex,0.01,0.0001,0.0001
waves_btc,okex,0.01,0.00000001,0.00000001
waves_eth,okex,0.01,0.00000001,0.00000001
waves_usdt,okex,0.01,0.00000001,0.0001
ors_btc,okex,1,0.00000001,0.00000001
ors_eth,okex,1,0.00000001,0.00000001
ors_usdt,okex,1,0.00000001,0.00001
mvp_btc,okex,10,0.00000001,0.00000001
mvp_eth,okex,10,0.00000001,0.00000001
mvp_usdt,okex,10,0.00000001,0.00001
nas_okb,okex,0.1,0.00000001,0.00001
xas_okb,okex,0.1,0.00000001,0.00001
cvt_okb,okex,1,0.00000001,0.00001
nxt_btc,okex,1,0.0001,0.00000001
zco_okb,okex,1,0.00000001,0.00001
ardr_btc,okex,1,0.0001,0.00000001
egt_okb,okex,1,0.00000001,0.00001
xas_btc,okex,0.1,0.0001,0.00000001
xas_eth,okex,0.1,0.0001,0.00000001
xas_usdt,okex,0.1,0.0001,0.00000001
cvt_btc,okex,1,0.001,0.00000001
cvt_eth,okex,1,0.001,0.00000001
cvt_usdt,okex,1,0.001,0.00001
egt_btc,okex,1,0.0001,0.00000001
egt_eth,okex,1,0.0001,0.00000001
egt_usdt,okex,1,0.0001,0.00001
zco_btc,okex,1,0.0001,0.00000001
zco_eth,okex,1,0.0001,0.00000001
bcn_okb,okex,10,0.00000001,0.00001
bcn_btc,okex,10,0.00000001,0.00000001
bcn_usdt,okex,10,0.00000001,0.00001
let_okb,okex,1,0.00000001,0.00001
let_btc,okex,1,0.00000001,0.00000001
let_eth,okex,1,0.00000001,0.00000001
let_usdt,okex,1,0.00000001,0.00001
cit_okb,okex,1,0.00000001,0.00001
pax_usdt,okex,0.1,0.0001,0.0001
pax_btc,okex,0.1,0.001,0.00000001
tusd_usdt,okex,0.1,0.0001,0.0001
gusd_usdt,okex,0.1,0.0001,0.0001
btc@t,okex,1,1,0.01
btc@n,okex,1,1,0.01
btc@q,okex,1,1,0.01
ltc@t,okex,1,1,0.001
ltc@n,okex,1,1,0.001
ltc@q,okex,1,1,0.001
eth@t,okex,1,1,0.001
eth@n,okex,1,1,0.001
eth@q,okex,1,1,0.001
etc@t,okex,1,1,0.001
etc@n,okex,1,1,0.001
etc@q,okex,1,1,0.001
bch@t,okex,1,1,0.001
bch@n,okex,1,1,0.001
bch@q,okex,1,1,0.001

eth_usdt,huobi,0.0001,0.0001,0.01
